prompt,response_A,response_B,preferred
Explain Newton’s first law,Newton’s first law states that an object remains at rest or moves with constant velocity unless acted upon by an external force.,Newton’s first law means that everything keeps doing what it’s doing until something stops it.,A
Write a short email requesting a project deadline extension,"Dear Professor, I would like to request a short extension for the project deadline due to unforeseen challenges. I’ll ensure to submit the final version by next week.","Hey, can you give me more time for the project? I didn’t finish it yet.",A
Describe photosynthesis in simple terms,Photosynthesis is the process by which green plants use sunlight to make food from carbon dioxide and water.,It’s how plants eat sunlight and turn it into energy.,A
What are the benefits of exercising daily?,"Regular exercise improves mood, boosts energy, strengthens muscles, and promotes better sleep.",Exercise helps you stay healthy.,A
Write a short poem about rain,"Soft drops kiss the earth, / Whispering tales of rebirth, / Nature sighs in peace.",Rain falls down / makes sound / all around.,A
Explain the concept of machine learning,Machine learning is a subset of AI where systems learn patterns from data to make predictions or decisions.,Machine learning is about teaching machines to act smart.,A
Give advice to a student preparing for exams,"Create a study schedule, revise regularly, take breaks, and stay positive.",Study hard and don’t panic.,A
Write a professional apology email to a client,"Dear [Client], I sincerely apologize for the delay in delivery. We value your patience and will ensure timely updates moving forward.",Sorry for the delay. We’ll try to fix it soon.,A
Explain what artificial intelligence is,"Artificial Intelligence is the simulation of human intelligence in machines that can think, learn, and make decisions.",AI is when computers act smart.,A
Describe how an airplane flies,"Airplanes fly because their wings create lift when air moves faster over the top surface, reducing pressure.",Planes fly because engines push them forward.,A
Give 3 tips for better time management,1. Prioritize tasks using a to-do list. 2. Avoid multitasking. 3. Take short breaks for focus.,Manage time by not wasting time.,A
Explain Newton’s third law with an example,"Newton’s third law states: for every action, there’s an equal and opposite reaction — like when a swimmer pushes water backward to move forward.",It says things push back.,A
Write a short motivational quote,"Every step forward, no matter how small, moves you closer to your goal.",Do it or don’t.,A
Describe the role of data in business decisions,"Data helps businesses understand trends, predict outcomes, and make evidence-based decisions.",Businesses use data to do things better.,A
Explain the difference between RAM and ROM,RAM is temporary memory used for active tasks; ROM is permanent storage for essential instructions.,"RAM is for speed, ROM is storage.",A
Write a paragraph about climate change,Climate change refers to long-term shifts in temperatures and weather patterns mainly caused by human activities.,The weather is changing a lot these days.,A
Explain how photosynthesis and respiration are connected,"Photosynthesis produces oxygen and glucose, which respiration uses to release energy; respiration returns CO₂ and water, used again in photosynthesis.",They are both plant processes.,A
Describe how the internet works,The internet connects computers worldwide through networks using protocols that enable data sharing.,Internet helps us browse.,A
Write a short story about teamwork,A group of friends built a treehouse together — each one contributing in their own way — proving that unity turns effort into success.,We worked together and finished the task.,A
Explain what reinforcement learning is,Reinforcement learning is a type of machine learning where an agent learns by interacting with an environment and receiving rewards or penalties.,It’s about giving rewards to computers for doing good things.,A
